Perfil,Link do perfil,Perfil Antivax ou provax?,Perfil Conspiracionista?,Perfil Negacionista?,Categoria (profissão),Categoria (profissão) do perfil?,Link do post,Conteúdo do post,Post Antivax ou provax?,Post Conspiracionista?,Post Negacionista?
carlamendesdiy,https://www.instagram.com/carlamendesdiy?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,0,1,Criador(a) de conteúdo digital,1,https://www.instagram.com/p/DDQuXHROOcX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Farmaceútica pagará mais de 1 milhão de indenização a familia,1,0,1
horizons_21,https://www.instagram.com/horizons_21?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,1,,,,,,,,,
drdrewpinsky,https://www.instagram.com/drdrewpinsky/,1,0,1,Médico; Apresentador,1,https://www.instagram.com/p/DGWYlHVS18E/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Ministra da saúde tem cartão de vacina incompleto,1,0,1
vprasadmdmph,https://www.instagram.com/vprasadmdmph/,0,0,0,Professor; Médico hematologista e oncologista,1,https://www.instagram.com/p/DGdZQ-YAIWw/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Ricardo Lewandowski tem sigilo de 100 anos sob cartão de vacinação,1,0,1
casal.infecto,https://www.instagram.com/casal.infecto?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,0,0,0,Médicos infectologistas,1,https://www.instagram.com/p/DDSpwv2SCrg/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Pais que não vacinaram filhos são obrigados a pagar multa em SC,1,0,1
ethelmaciel,https://www.instagram.com/ethelmaciel?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,0,0,0,Professora; Médica epidemiologista; Enfermeira,1,https://www.instagram.com/p/CsqzfgVrAsU/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Vírus causador de câncer em vacina da pfizer,1,1,1
lucíola_costa,https://www.instagram.com/luciola_costa?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,0,0,0,,,https://www.instagram.com/p/DGGt6rfvCz1/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Covid: a maior ditadura sanitária da história,1,1,1
dr.derrame,https://www.instagram.com/dr.derrame?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,0,0,0,Médico cirurgião geral; Professor,1,https://www.instagram.com/p/DCP5uFAu6sS/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Ministério da saúde deixa a vacina faltar em 11 estados e no DF,1,0,1
bacchi.andre,https://www.instagram.com/bacchi.andre?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,0,0,0,Professor; Médico farmacologista,1,https://www.instagram.com/p/DFmEgPxJ61U/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Vacinados tem mais chances de pegar covid,0,0,0
leo_costa_pbe,https://www.instagram.com/leo_costa_pbe?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,0,0,0,Médico fisioterapeuta,1,https://www.instagram.com/p/DGH9AURxJaw/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trump assina acordo contra escolas que exigem vacinação contra a COVID,1,0,1
